,human,zen,source
48,"I know that 2 cigarettes per day are not a problem to the health of the baby. I know that I cannot give them up completely (it would be stressful), so as long as I stay at 2 per day, it should be fine.",Limiting the number of cigarettes you have each day to just two helps keep your baby healthy while also keeping your stress under control.,University of Michigan Pair Dataset (HQ1)
49,"I smoked throughout my previous pregnancy, and it was fine – both me and the baby were fine. I don’t feel it is a problem I should focus on.","Since you smoked during your last pregnancy and your first baby was born healthy, you feel like smoking during this pregnancy isn’t an issue.",University of Michigan Pair Dataset (HQ1)
50,I don’t have what it takes to stop smoking. I am not ambitious enough. I am not tough enough to beat this.,You’re just not sure you have what it takes to be successful at quitting.,University of Michigan Pair Dataset (HQ1)
51,"We didn’t plan for this pregnancy, it was all unexpected. And I have been feeling fine, no morning sickness, no nothing. It feels like nothing changed in my life, except for this belly which keeps growing. So, I don’t feel I should change anything about my life. That’s why I don’t feel I need to stop smoking.","Since you’ve been feeling good and your life hasn’t really changed since your positive pregnancy test, you’re not in a place where it feels like giving up your daily cigarettes are that important.",University of Michigan Pair Dataset (HQ1)
52,"I cannot stop thinking about how I am hurting my baby by continuing smoking. But I cannot stop. And the more I think about it, the more I smoke and feel bad about it.","If you could find a way to quit that you knew would work for you, you'd definitely give it a try.  ",University of Michigan Pair Dataset (HQ1)
53,"No one can tell me what to do. If I want to smoke, I will and I will stop when I feel like it. I have reduced the number of cigarettes anyway, so I don’t smoke that much anymore, but if anyone tells me to quit, I feel like I want to light up a cigarette right then.",You like to be in control of your life and your own decision making and it really bugs you when other people try to give you advice.,University of Michigan Pair Dataset (HQ1)
54,"I think that it may become difficult to stay smoke free once I return to work. There is a ritual in the office, it’s how we start the days and take breaks. I could not guarantee that once I return to work and the baby is all grown up I won’t start again. But definitely not now, while I am breastfeeding and around the little one all day.",You feel strongly that it’s important not to smoke now while you’re breastfeeding and at home with your baby but you’re unsure how you’re going to keep up the momentum once you’re back to work and around your co-workers.,University of Michigan Pair Dataset (HQ1)
55,"I was never a real smoker, you know? Just when I was having a hard time at work or when stress gets really bad, but it doesn’t happen often enough for me to call myself a smoker. It’s not like I ever had a pack a day. Even if I start again, it won’t be more than a few a day.","You never really saw yourself as a smoker, but someone who would smoke a cigarette occasionally just to decompress.",University of Michigan Pair Dataset (HQ1)
56,"The biggest challenge is having friends over and seeing them smoke. I used to smoke with my (female) friends and just gossip and catch up. And I don’t miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it’s sometimes hard to see everyone smoking.","On one hand you really don’t miss cigarettes all that much but on the other hand, you do miss the time that you spent with your friends when smoking together.",University of Michigan Pair Dataset (HQ1)
57,"My husband still smokes. But he only smokes on the balcony, so not around me, although he did smoke next to me when we went out last time. Then it wasn’t a temptation, because my reasons for quitting are strong, but I guess that could be a temptation to start smoking again in the future.","While you haven’t been really been tempted so far, you do see that it could be a possibility in the future if your husband keeps smoking around you.",University of Michigan Pair Dataset (HQ1)
58,"I tried to stop smoking but it is very difficult when I go to work, as all my colleagues smoke during our breaks.  It is hard to say no when everyone around you is smoking.",You might be able to consider quitting smoking if you didn’t have to be around other smokers.,University of Michigan Pair Dataset (HQ1)
59,"I know that smoking is harmful, but I don’t see myself being affected by it. I read the warnings on the cigarette packs, and I even looked for information online. So, I know what it does. But I don’t feel it will happen to me.","It doesn't seem likely that the warnings on the side of the package will impact you. If you had a family history of lung cancer or heart disease, you might feel differently.  ",University of Michigan Pair Dataset (HQ1)
60,"At this point I am smoke free. I decided to do this while I’m breastfeeding. However, I will probably start smoking after breastfeeding ends. I am a physician and I know that five cigarettes a day won’t kill me.",You’ve been really successful at quitting smoking for the benefit of your baby. You’re still on the fence about whether or not you’ll go back to smoking when she’s done nursing.,University of Michigan Pair Dataset (HQ1)
61,"I feel very agitated when I try to quit smoking.  Also, the doctor told me, if things get rough, instead of being depressive or anxious, I can light up a cigarette, have three puffs and then discard it. So, I have reduced smoking, but I cannot quit completely. I sometimes still smoke a quarter of a cigarette to keep myself calm.",You’ve worked hard to cut down on the number of cigarettes you smoke. You’re finding that the thought of quitting is upsetting so you’ve found a way to cut back without quitting completely.,University of Michigan Pair Dataset (HQ1)
62,"Since I quit smoking I never thought about it. I am only thinking about it now, that you brought it up.",Your whole mindset has shifted since you quit. You find that it really doesn’t cross your mind much anymore.,University of Michigan Pair Dataset (HQ1)
63,"I don’t consider myself as someone who has quit smoking.  I don’t say that to people because very often people’s response to that is “Everyone starts smoking again eventually!  It’s like they want to warn you not to get ahead of yourself. So, I just get discouraged and I would rather not say that or talk about smoking with the others, although I guess that I am no longer a smoker since I have stopped smoking for some time now.",Quitting is a personal success for you. At this point you’d rather keep the news to yourself because other’s comments could potentially drag you down.,University of Michigan Pair Dataset (HQ1)
64,"My husband supports me. He actually forbids me to smoke. I don’t necessarily like this, you can imagine. Sometimes it actually makes me want to smoke more, but I still don’t do it, because I am doing this for the baby’s health. But it’s really unpleasant when we talk about it. He still smoking of course.","While you’re happy to stay quit right now for the health of your baby, you wish that he wouldn’t put so much pressure on you. 
",University of Michigan Pair Dataset (HQ1)
65,"My reasons (to quit) have very much to do with the baby’s health. I could not imagine smoking after we found out I was pregnant and I think my husband felt the same. And now we are so happy and I breastfeed, so I could not intoxicate him or smell like cigarettes around him, you know how hands smell when you smoke… But after I no longer breastfeed and he is grown up, I really couldn’t say, if we want us to be honest here. It’s too hard to imagine what may happen in 2-3 years or more.","With an infant at home, the future seems a bit unknown. You are pretty proud of yourself for being smoke-free right now but you’re questioning if you’ll be able to stay that way.",University of Michigan Pair Dataset (HQ1)
66,"My husband does not like how my mouth smells, after smoking. He is glad that I stopped smoking, so this will help me in the future to stay smoke free.",Having fresh breath now that you’ve quit smoking is a huge motivator for you.,University of Michigan Pair Dataset (HQ1)
67,"Now that I have stopped smoking, I will never smoke again. I know myself and once I decide something, I never turn back.","You've achieved so much and you've put in so much work to getting to where you are now, the idea of going backwards is not an option for you. ",University of Michigan Pair Dataset (HQ1)
68,"I tried to quit smoking several times, however, each time I started smoking again. But after I found out I was pregnant, I never thought of smoking again. The baby is the greatest motivation. There are no temptations to smoke. Now I am focusing on raising the baby. The baby is my life.  That should keep me from smoking.",You weren't successful with quitting in the past. It wasn't until you got pregnant and had this new future for yourself that you were finally able to see yourself as a non-smoker.,University of Michigan Pair Dataset (HQ1)
69,"After becoming pregnant, something changed in my body and my body rejected cigarettes. I was feeling sick when I smoked and even just from smelling the smoke. Now I can’t believe how foolish I was to ever smoke.",You're embracing a whole new life -- a life as a mom and a life as a non-smoker.,University of Michigan Pair Dataset (HQ1)
70,"There is no need for you (counselor) and I to discuss how my wife can remain smoke free. If a person wants to do something, they will just do it. If she wants to smoke, she will smoke, it is not something that we can influence.",Talking about ways that you can help your wife stay smoke free doesn’t sound helpful right now because you’re not convinced that your support will change her path.,University of Michigan Pair Dataset (HQ1)
71,"I quit when my wife decided to quit, because I do not think that such a change can happen unless both partners work together. But she has been through so much stress because of the baby’s health problems that I sometimes worry she will start smoking just because of all that stress and pressure.","Your wife’s wellbeing, both mental and physical, is really important to you. You realize that your baby’s health condition may impact her ability to stay quit and that concerns you.",University of Michigan Pair Dataset (HQ1)
72,"I’m happy she  quit, but I do not think I would fight with her or even say something if she started smoking again, we do not have that kind of relationship. I respect her and I would eventually accept this, especially because I know she would not smoke around the child or while breastfeeding.","While you’d prefer for your wife to be a nonsmoker, you respect her decision making and know that she’ll do what’s necessary to keep your baby healthy.",University of Michigan Pair Dataset (HQ1)
73,"I don’t want to help my wife to stay smoke free. It’s her job, not mine, her decision, not mine. I can’t force her or convince her to stop smoking. She can do whatever she wants with her life now that the baby has come.",You don't really see any way you can help your wife with her goal of staying smoke free.,University of Michigan Pair Dataset (HQ1)
74,Is not up for discussion if she starts smoking or not. She won’t. I won’t allow her that.,You feel very strongly that you don’t want to be married to a smoker.,University of Michigan Pair Dataset (HQ1)
75,What? She told you she did not smoke for several months? She just smoked yesterday. She won’t stop smoking.,Your wife’s story is inconsistent. You wonder why she may be saying one thing but doing another.,University of Michigan Pair Dataset (HQ1)
76,"I will stay smoke free during the breastfeeding period, however, I am not determined to stay smoke free after. I am not sure what will happen but I don’t want to think about that.",You’re not quite sure if staying smoke-free is the right path for you and you’re not quite ready to talk about what may happen after you're done nursing.,University of Michigan Pair Dataset (HQ1)
77,This is not the time for me to talk about smoking. The baby takes all my energy and I don’t have energy to even think about smoking.,With the new baby you’re feeling depleted. The idea of talking about quitting is just too much right now.,University of Michigan Pair Dataset (HQ1)
78,Sometimes I feel like not knowing if I will get Huntington’s disease might be better than knowing.  What’s the point of knowing if there is no cure.,Sometimes it feels like it might be easier to keep moving forward without the test results.,University of Michigan Pair Dataset (HQ1)
79,"I know I need annual mammograms,  but I cannot deal with that now. I have too much going on with my divorce and my mother being ill.","Between the divorce and your mom's illness, you're spread really thin. You'd like to think about putting yourself first and taking care of your own health, but it feels outside your ability right now. ",University of Michigan Pair Dataset (HQ1)
80,"I know my son might have FAP, but I can’t take him to have that colonoscopy that is out of the question.",You know that the colonoscopy is really important but you're unsure how you can get him to the appointment. Part of you might be concerned about what the results might tell you so it feels easier to just avoid it.,University of Michigan Pair Dataset (HQ1)
81,"I am scared to tell my daughters I have the BRCA mutation, I don’t know how to explain it to them without freaking them about.",The idea of telling your daughters is overwhelming because you don’t want to upset them.,University of Michigan Pair Dataset (HQ1)
82,I worry that I’m being too hasty in my decision to end this pregnancy.  Maybe I should wait and think it over,"While at one time your mind was made up about your pregnancy, you’re starting to think that maybe you need to revisit your decision.",University of Michigan Pair Dataset (HQ1)
83,We are so mixed up right now about whether we should continue the pregnancy. We should be able to make this decision but it is so hard. I am a Christian and I am not sure what scripture has to say about this.,"Your heart is pulled in two directions right now. To find peace, you’d like to consider what members of your religious community might do based on your shared faith.",University of Michigan Pair Dataset (HQ1)
84,"We had agreed that we would continue the pregnancy no matter what. Now my husband feels differently, but I don’t. ",You and your husband are at odds with your decision and you’re struggling trying to reconcile the two opinions.,University of Michigan Pair Dataset (HQ1)
85,This whole decision would be easier if you would just tell us what to do.,You’re at a crossroads about what to do and part of you is hopeful that someone else will make the decision for you.,University of Michigan Pair Dataset (HQ1)
86,I’ve had other friends who also had an abnormal AFP test and their babies were fine.  It makes me less certain I need the amniocentesis.,You’ve heard mixed messages about whether or not an amniocentesis is necessary for you.,University of Michigan Pair Dataset (HQ1)
87,I just keep thinking about what people in my church would think of me if they ever found out about me ending a pregnancy.,What other people think of your decisions is important to you.,University of Michigan Pair Dataset (HQ1)
88,We’ve already had so many tests done to figure out why Jonnie has his problems. I’m not sure if doing this new test (whole genome sequencing) is just another waste of time and money.,You’re questioning if putting Jonnie through these new tests is really necessary.,University of Michigan Pair Dataset (HQ1)
89,"Now that I know about my risk for having a child with Duchenne muscular dystrophy, I’m not sure when or if I should tell my boyfriend.","On one hand you feel like your boyfriend has the right to know since it could impact his life down the road, but on the other hand you’re worried it might scare him away.",University of Michigan Pair Dataset (HQ1)
90,"I am so busy getting oriented to college life, I’m not sure where genetic testing fits in.",You’re still learning the ropes as a new college student and you’re not sure if testing fits in right now.,University of Michigan Pair Dataset (HQ1)
91,"I have already figured out what I’m going to do with my career, and now is clearly the best time for me to have genetic testing to determine my carrier status for cystic fibrosis.",You’re ready to get the ball rolling and schedule the genetic testing.,University of Michigan Pair Dataset (HQ1)
92,"I love my brother so much, I feel guilty about wanting to know my carrier status for his disease.",It feels wrong to want to know if the disease your brother has is something you’re also going to have to deal with.,University of Michigan Pair Dataset (HQ1)
93,"Parent of 1 year old with achondroplasia: I don’t see why we need to go to neurology, he has the disease and nothing’s going to change that.",You’re questioning whether or not a follow-up appointment is going to change anything.,University of Michigan Pair Dataset (HQ1)
94,I’d rather keep undergoing yearly colonoscopies than have my insurance company know my genetic status for Lynch syndrome.,You’re worried about what could happen with your insurance coverage if your insurance company found out about your diagnosis.,University of Michigan Pair Dataset (HQ1)
95,Parent of a child potentially eligible for a clinical trial for Duchenne: I don’t see why I need to test him. His older brother is doing great and he hates having his blood drawn.,You’re concerned about putting your child through additional testing and don’t really want to expose him to anymore blood draws.,University of Michigan Pair Dataset (HQ1)
96,"She’s only 16, I don’t know why she needs to know she has Turner syndrome. She’s only going to get upset.",You have your child’s best interest at heart and right now you’re thinking it would be best for her if you didn’t share this information.,University of Michigan Pair Dataset (HQ1)
97,"I don’t see why I have to talk to you, I told my doctor I wanted the BRCA test and that’s all I need.","You’re ready for action. At this point, additional conversations about the BRCA test seem unnecessary.",University of Michigan Pair Dataset (HQ1)
98,I don’t want to stir up trouble by telling my siblings about my diagnosis of familial adenomatous polyposis.,You’re worried that the news of your diagnosis might have a negative impact on your family.,University of Michigan Pair Dataset (HQ1)
99,My sister says it’s silly to worry about a couple ultrasound glitches.,You’re not entirely sure how much you should be troubled by the ultrasound results.,University of Michigan Pair Dataset (HQ1)
100,"I don’t have to worry, the breast cancer is on my Dad’s side.","If the history of breast cancer was on your mom's side of the family, you might feel differently. ",University of Michigan Pair Dataset (HQ1)
101,The baby has Down syndrome because I drank during the pregnancy.,You’re feeling some guilt that you might have caused your child to have Down Syndrome.,University of Michigan Pair Dataset (HQ1)
102,"No one else in the family has had cystic fibrosis, so this can’t be genetic.","You’re thinking that since no one else in your family has the same diagnosis, something besides genes might be going on. ",University of Michigan Pair Dataset (HQ1)
103,"Only the men in my family have had colon cancer, so I’m not worried about my MSH2 mutation.",You’re not too concerned about your MSH2 mutation since it only seems to impact the men in your family.,University of Michigan Pair Dataset (HQ1)
104,I know you think I’m a fool to continue this pregnancy.,What others think about your decision is important to you.,University of Michigan Pair Dataset (HQ1)
105,"I’ve gone this long with normal colonoscopies, I don’t think I need anymore. Everyone in my family had their cancer before 45 and I’m 46.",You’re questioning whether or not you need to continue with the testing now that you’re 46. It doesn’t feel as important as it did when you were 45 and younger.,University of Michigan Pair Dataset (HQ1)
106,I want every test there is to make sure the baby is perfect.,You’re willing to do everything you possibly can for your baby.,University of Michigan Pair Dataset (HQ1)
107,"The doctor told me there is a 1 in 4 chance of cystic fibrosis. I already have one affected child and I’m not having more than four total children, so my risk is done.",You’ve done the math and you’re sure that you’re at a pretty low risk for having another child with cystic fibrosis.,University of Michigan Pair Dataset (HQ1)
